file_id	chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21q	chr22q
5c870516-205a-4075-9e60-d051cf2e87fe	-1	unknown	-1	-1	-1	-1	-1	-1	1	unknown	1	1	unknown	0	-1	1	-1	0	1	unknown	-1	unknown	-1	-1	unknown	-1	-1	unknown	-1	-1	unknown	0	unknown	0	0	0	0	unknown	0
af92fe76-423d-4262-a75c-8688d549138d	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
56ff4351-7be9-4183-8e75-0782a6fe2c17	0	unknown	0	0	0	0	0	0	unknown	0	0	0	0	0	unknown	0	0	0	0	unknown	0	unknown	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	-1
d6a8cda0-384c-43ef-9c3f-4b8ec1c64984	-1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	unknown	0	unknown	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
c4219318-5dc7-412d-afa6-f67d3089b502	-1	unknown	-1	0	-1	1	-1	0	unknown	-1	1	unknown	-1	-1	-1	1	0	unknown	0	-1	-1	-1	1	-1	unknown	-1	-1	-1	-1	unknown	unknown	1	-1	-1	unknown	-1	-1	1	-1
c264c9eb-173b-40dc-bc78-114ecd070a29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ceb44430-66aa-479c-a625-8600c386eff0	-1	1	-1	-1	0	0	-1	-1	0	0	-1	-1	0	0	0	1	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1
6f3b0c29-f679-4f63-a665-7d2e0599ae40	unknown	1	0	0	unknown	0	0	0	0	0	0	0	1	1	unknown	1	0	unknown	1	1	0	0	1	unknown	0	0	unknown	1	-1	-1	0	0	0	1	1	1	1	0	0
b7847f76-f731-4da4-ad4b-1548ff81a6a4	-1	1	0	0	0	-1	1	1	unknown	unknown	0	0	unknown	1	1	1	-1	0	1	unknown	1	unknown	1	1	-1	1	-1	1	-1	-1	unknown	0	0	0	0	1	1	-1	unknown
00fbd326-73fb-4ede-bf73-e028a07154e9	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
2166a45b-ed1e-47b9-aea3-b06f5222fc15	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
935c4e3e-3ba4-496c-8cfe-ffef2e325de4	-1	1	1	1	1	1	-1	-1	0	0	0	0	1	1	1	1	unknown	1	0	0	0	0	0	0	-1	1	0	1	-1	0	0	1	1	1	1	1	1	-1	0
61549d34-cba6-459c-b1c7-922d436b579d	unknown	-1	-1	-1	-1	-1	0	0	0	-1	0	0	0	unknown	-1	1	0	0	unknown	-1	-1	-1	-1	-1	-1	unknown	unknown	0	0	-1	-1	0	0	unknown	unknown	unknown	1	-1	0
134355cf-0ed3-46dc-9f13-af59bb961ad5	0	1	0	0	0	0	1	1	1	1	0	unknown	0	0	-1	1	1	1	0	0	0	0	0	0	-1	0	0	1	-1	-1	1	1	1	0	0	1	1	0	0
6dad4fb1-a154-4fc6-ab6c-55bb73e3a2ac	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
89cbb9d4-5d05-4736-b13c-a26393f02408	-1	1	0	0	0	0	-1	unknown	0	0	0	unknown	unknown	1	unknown	1	0	0	0	-1	-1	-1	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	unknown	0	-1
ef3f5010-f5b1-4cfb-887f-18622ec85b28	-1	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	unknown	0	0	unknown	-1	-1	1	-1	-1	unknown	0	0	0	0	-1	-1	0	-1
ca3370bc-d8d8-44c0-a915-085c4b466074	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	-1	0	0	0	0	1	1	1	1	0	-1
e0a3ea3a-ffce-4e30-9f42-cb047a7644a1	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	unknown	0	0	0	0	0	0	0	0
d392da6c-7428-4dd0-b004-c519d190e07b	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	unknown	1	-1	-1	0	1	0	0	0	-1	-1	0	0	0	0	0	-1
546fa7dc-9e62-41f4-86f7-b0963d2f7407	-1	unknown	unknown	unknown	unknown	1	-1	unknown	1	-1	unknown	0	-1	unknown	-1	unknown	0	-1	1	unknown	unknown	unknown	unknown	unknown	-1	-1	unknown	1	unknown	unknown	unknown	1	unknown	-1	1	unknown	unknown	1	unknown
4f7e40bf-4360-49bf-88ff-8c9008f814ab	-1	1	0	-1	unknown	0	-1	unknown	0	0	0	0	unknown	0	-1	0	-1	0	unknown	0	0	unknown	-1	-1	unknown	unknown	-1	1	-1	unknown	1	-1	-1	1	-1	-1	-1	0	-1
8c2d82aa-0b36-488f-8cf1-f82795b831c5	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
11a526b9-bd7e-4191-b025-524979fc6f2f	0	1	0	0	unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unknown	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0
44073c3b-c0ca-48ad-992d-a8c4b11a07de	0	0	0	0	-1	0	0	0	1	-1	-1	1	0	0	0	1	0	0	-1	-1	0	unknown	1	0	-1	-1	-1	0	unknown	-1	unknown	0	0	0	0	0	0	0	0
3a833d6d-75c7-4381-8cef-699c633b64e6	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
b6797935-a128-4905-be7e-c566a44fb306	0	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	-1	0	0	0	0	1	1	1	1	0	-1
1f61d9be-144b-4992-9b90-12cac0a07e69	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	-1	unknown	0	0	0	0	0	0	0	0
b54a0f88-21be-4c6d-a27a-1c1b8959652c	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
9989a3a7-8df8-488e-a570-bf0f2255f267	0	unknown	0	0	0	0	0	0	0	0	0	unknown	0	0	-1	1	0	0	0	0	0	-1	0	0	0	0	0	0	unknown	-1	1	0	0	0	0	0	0	0	unknown
37e75ea9-e3e0-4844-b077-130aaaab970d	unknown	1	1	unknown	0	0	-1	-1	unknown	-1	unknown	1	-1	1	unknown	1	1	-1	1	unknown	-1	unknown	1	-1	-1	-1	-1	unknown	unknown	0	0	0	unknown	unknown	1	-1	1	0	0
75de8d1f-5b33-4710-b31e-d54adad2234b	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	0	-1	-1	0	-1	0	0	-1	-1	0	0	0	0	0	0
0f821dff-79f1-4082-9a7e-31fa763f143c	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
ece8582d-67eb-4206-bd37-2487667d2ef2	-1	1	unknown	-1	0	0	0	0	-1	-1	0	0	0	unknown	-1	unknown	-1	-1	0	-1	-1	-1	unknown	0	0	unknown	-1	-1	-1	-1	unknown	-1	-1	-1	-1	-1	unknown	0	-1
04a7f289-c045-474e-8b2e-99ca8016539f	-1	1	unknown	0	-1	0	unknown	unknown	1	-1	1	unknown	0	0	0	1	1	0	unknown	0	unknown	unknown	0	0	-1	-1	-1	-1	-1	unknown	unknown	0	0	unknown	0	0	0	0	-1
d9591544-8a14-414a-9ab8-729f870105c3	unknown	1	unknown	unknown	-1	1	-1	-1	1	-1	1	-1	unknown	0	unknown	unknown	unknown	unknown	1	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	-1	unknown	-1	unknown	0	unknown	unknown	unknown	0	-1	-1	unknown
d037d3c2-e316-473d-9970-d4fb43615d95	-1	1	-1	-1	0	0	-1	-1	0	0	0	0	0	0	-1	0	-1	-1	-1	-1	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
196cd9b1-0b59-41fe-9832-40aa699f4780	-1	1	1	unknown	-1	0	0	0	0	0	-1	0	unknown	0	0	0	0	0	1	1	0	0	unknown	0	-1	0	unknown	1	-1	0	0	-1	-1	unknown	1	1	1	0	-1
8c0db338-3c8a-4677-bcc1-80f552f4b0d4	-1	1	unknown	-1	-1	unknown	-1	unknown	unknown	-1	0	unknown	-1	unknown	unknown	unknown	1	unknown	1	unknown	-1	1	unknown	unknown	unknown	unknown	unknown	0	-1	unknown	unknown	1	unknown	unknown	unknown	unknown	0	unknown	0
3292b1e4-015d-4c24-b8a7-8535a78a59d4	-1	1	0	0	-1	0	0	0	0	0	-1	-1	-1	-1	-1	1	0	0	-1	-1	unknown	-1	-1	0	-1	unknown	unknown	unknown	-1	-1	unknown	-1	0	-1	0	0	0	0	-1
5d92192a-ce58-4af1-b26b-c52362576e0b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c8223941-d4f7-4f0e-94d9-ddd90ebbfd47	0	unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43b1678a-0316-4675-be0b-14cc2953bf8b	unknown	1	1	unknown	-1	1	-1	-1	1	-1	unknown	-1	1	1	unknown	0	1	0	-1	-1	unknown	unknown	1	-1	-1	-1	-1	1	-1	-1	unknown	unknown	0	unknown	unknown	unknown	1	unknown	unknown
fa995fdc-9a6b-41fa-88e3-1dd717af617d	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0
a09523f4-02e4-4e74-a601-83591011634d	0	0	0	0	0	0	-1	-1	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	unknown	unknown	0	0	0	1	-1	-1	-1	0	0	0	0	0	1	0	0
c3331185-5f72-4385-ab36-844c1dfb323e	-1	1	0	0	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	unknown	-1	-1	-1	-1	0	0	0	0	0	-1
70ee6bfe-1b7d-4a72-8762-652c34ff2fe4	0	1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	-1
f42ef761-1a9e-44da-b2ad-f94bfd160e1e	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown
